timestamp,target,latency_ms,success
2026-03-06T13:30:14.763980,8.8.8.8,19.0,True
2026-03-06T13:30:14.763980,1.1.1.1,15.6,True
2026-03-06T13:31:15.083673,8.8.8.8,20.1,True
2026-03-06T13:31:15.083673,1.1.1.1,18.9,True
2026-03-06T13:32:15.375510,8.8.8.8,18.7,True
2026-03-06T13:32:15.375510,1.1.1.1,18.8,True
2026-03-06T13:33:15.652416,8.8.8.8,19.2,True
2026-03-06T13:33:15.652416,1.1.1.1,18.2,True
2026-03-06T13:34:15.938914,8.8.8.8,15.8,True
2026-03-06T13:34:15.938914,1.1.1.1,17.9,True
2026-03-06T13:35:16.239259,8.8.8.8,16.8,True
2026-03-06T13:35:16.239259,1.1.1.1,17.6,True
2026-03-06T13:36:16.546967,8.8.8.8,20.8,True
2026-03-06T13:36:16.546967,1.1.1.1,28.5,True
2026-03-06T13:37:16.591421,8.8.8.8,18.6,True
2026-03-06T13:37:16.591421,1.1.1.1,16.3,True
2026-03-06T13:38:17.154964,8.8.8.8,20.3,True
2026-03-06T13:38:17.154964,1.1.1.1,12.3,True
2026-03-06T13:39:17.476009,8.8.8.8,16.9,True
2026-03-06T13:39:17.476009,1.1.1.1,17.9,True
2026-03-06T13:40:17.766981,8.8.8.8,17.3,True
2026-03-06T13:40:17.766981,1.1.1.1,19.6,True
2026-03-06T13:41:18.064147,8.8.8.8,15.8,True
2026-03-06T13:41:18.064147,1.1.1.1,17.1,True
2026-03-06T13:42:18.370248,8.8.8.8,19.2,True
2026-03-06T13:42:18.370248,1.1.1.1,17.4,True
2026-03-06T13:43:18.681976,8.8.8.8,18.9,True
2026-03-06T13:43:18.681976,1.1.1.1,16.3,True
2026-03-06T13:44:18.964017,8.8.8.8,14.4,True
2026-03-06T13:44:18.964017,1.1.1.1,17.3,True
2026-03-06T13:45:19.269732,8.8.8.8,21.3,True
2026-03-06T13:45:19.269732,1.1.1.1,16.5,True
2026-03-06T13:46:19.547998,8.8.8.8,13.7,True
2026-03-06T13:46:19.547998,1.1.1.1,15.0,True
2026-03-06T13:47:25.067725,8.8.8.8,21.4,True
2026-03-06T13:47:25.067725,1.1.1.1,22.0,True
2026-03-06T13:48:25.361266,8.8.8.8,20.2,True
2026-03-06T13:48:25.361266,1.1.1.1,18.0,True
2026-03-06T13:49:25.656959,8.8.8.8,,False
2026-03-06T13:49:25.656959,1.1.1.1,18.3,True
2026-03-06T13:50:31.001956,8.8.8.8,16.9,True
2026-03-06T13:50:31.001956,1.1.1.1,16.3,True
2026-03-06T13:51:31.322266,8.8.8.8,18.0,True
2026-03-06T13:51:31.322266,1.1.1.1,20.5,True
2026-03-06T13:52:31.638862,8.8.8.8,16.3,True
2026-03-06T13:52:31.638862,1.1.1.1,14.7,True
2026-03-06T13:53:31.924402,8.8.8.8,19.3,True
2026-03-06T13:53:31.924402,1.1.1.1,16.0,True
2026-03-06T13:54:32.236074,8.8.8.8,18.4,True
2026-03-06T13:54:32.236074,1.1.1.1,18.1,True
2026-03-06T13:55:32.522652,8.8.8.8,16.4,True
2026-03-06T13:55:32.522652,1.1.1.1,21.2,True
2026-03-06T13:56:32.834486,8.8.8.8,16.9,True
2026-03-06T13:56:32.834486,1.1.1.1,19.3,True
2026-03-06T13:57:33.134442,8.8.8.8,17.5,True
2026-03-06T13:57:33.134442,1.1.1.1,12.6,True
2026-03-06T13:58:33.379055,8.8.8.8,20.1,True
2026-03-06T13:58:33.379055,1.1.1.1,15.5,True
2026-03-06T13:59:33.682825,8.8.8.8,18.3,True
2026-03-06T13:59:33.682825,1.1.1.1,15.4,True
2026-03-06T14:00:33.962815,8.8.8.8,17.4,True
2026-03-06T14:00:33.962815,1.1.1.1,17.5,True
2026-03-06T14:01:34.264352,8.8.8.8,15.2,True
2026-03-06T14:01:34.264352,1.1.1.1,22.0,True
2026-03-06T14:02:34.570794,8.8.8.8,18.4,True
2026-03-06T14:02:34.570794,1.1.1.1,15.3,True
2026-03-06T14:03:34.868058,8.8.8.8,14.8,True
2026-03-06T14:03:34.868058,1.1.1.1,14.9,True
2026-03-06T14:04:35.152762,8.8.8.8,19.7,True
2026-03-06T14:04:35.152762,1.1.1.1,16.5,True
2026-03-06T14:05:35.471948,8.8.8.8,16.6,True
2026-03-06T14:05:35.471948,1.1.1.1,16.0,True
2026-03-06T14:06:35.711664,8.8.8.8,14.6,True
2026-03-06T14:06:35.711664,1.1.1.1,16.6,True
2026-03-06T14:07:36.030304,8.8.8.8,15.5,True
2026-03-06T14:07:36.030304,1.1.1.1,17.6,True
2026-03-06T14:08:36.323570,8.8.8.8,18.4,True
2026-03-06T14:08:36.323570,1.1.1.1,15.7,True
2026-03-06T14:09:36.576229,8.8.8.8,16.1,True
2026-03-06T14:09:36.576229,1.1.1.1,18.4,True
2026-03-06T14:10:36.881563,8.8.8.8,17.3,True
2026-03-06T14:10:36.881563,1.1.1.1,15.2,True
2026-03-06T14:11:36.999277,8.8.8.8,18.9,True
2026-03-06T14:11:36.999277,1.1.1.1,15.1,True
2026-03-06T14:12:37.447901,8.8.8.8,17.7,True
2026-03-06T14:12:37.447901,1.1.1.1,17.7,True
2026-03-06T14:13:37.737957,8.8.8.8,15.6,True
2026-03-06T14:13:37.737957,1.1.1.1,16.9,True
2026-03-06T14:14:38.056906,8.8.8.8,19.0,True
2026-03-06T14:14:38.056906,1.1.1.1,22.5,True
2026-03-06T14:15:38.361210,8.8.8.8,15.4,True
2026-03-06T14:15:38.361210,1.1.1.1,18.0,True
2026-03-06T14:16:38.682315,8.8.8.8,18.2,True
2026-03-06T14:16:38.682315,1.1.1.1,19.1,True
2026-03-06T14:17:38.955467,8.8.8.8,21.2,True
2026-03-06T14:17:38.955467,1.1.1.1,18.9,True
2026-03-06T14:18:39.249333,8.8.8.8,16.2,True
2026-03-06T14:18:39.249333,1.1.1.1,20.5,True
2026-03-06T14:19:39.554533,8.8.8.8,17.1,True
2026-03-06T14:19:39.554533,1.1.1.1,14.3,True
2026-03-06T14:20:39.849533,8.8.8.8,18.4,True
2026-03-06T14:20:39.849533,1.1.1.1,18.0,True
2026-03-06T14:21:40.121628,8.8.8.8,22.7,True
2026-03-06T14:21:40.121628,1.1.1.1,16.3,True
2026-03-06T14:22:40.417973,8.8.8.8,16.8,True
2026-03-06T14:22:40.417973,1.1.1.1,20.1,True
2026-03-06T14:23:40.679347,8.8.8.8,17.4,True
2026-03-06T14:23:40.679347,1.1.1.1,20.8,True
2026-03-06T14:24:40.966154,8.8.8.8,17.9,True
2026-03-06T14:24:40.966154,1.1.1.1,18.7,True
2026-03-06T14:25:41.262546,8.8.8.8,20.2,True
2026-03-06T14:25:41.262546,1.1.1.1,17.3,True
2026-03-06T14:26:41.601273,8.8.8.8,17.0,True
2026-03-06T14:26:41.601273,1.1.1.1,15.0,True
2026-03-06T14:27:41.886075,8.8.8.8,20.8,True
2026-03-06T14:27:41.886075,1.1.1.1,15.8,True
2026-03-06T14:28:42.201893,8.8.8.8,20.6,True
2026-03-06T14:28:42.201893,1.1.1.1,19.3,True
2026-03-06T14:29:42.509412,8.8.8.8,17.3,True
2026-03-06T14:29:42.509412,1.1.1.1,18.1,True
2026-03-06T14:30:42.782613,8.8.8.8,48.8,True
2026-03-06T14:30:42.782613,1.1.1.1,17.8,True
2026-03-06T14:31:43.100607,8.8.8.8,15.2,True
2026-03-06T14:31:43.100607,1.1.1.1,16.0,True
2026-03-06T14:32:43.397055,8.8.8.8,15.7,True
2026-03-06T14:32:43.397055,1.1.1.1,16.3,True
2026-03-06T14:33:43.704394,8.8.8.8,18.4,True
2026-03-06T14:33:43.704394,1.1.1.1,18.1,True
2026-03-06T14:34:43.966811,8.8.8.8,20.2,True
2026-03-06T14:34:43.966811,1.1.1.1,20.0,True
2026-03-06T14:35:44.309638,8.8.8.8,16.7,True
2026-03-06T14:35:44.309638,1.1.1.1,17.3,True
2026-03-06T14:36:44.624419,8.8.8.8,16.8,True
2026-03-06T14:36:44.624419,1.1.1.1,32.6,True
2026-03-06T14:37:44.914274,8.8.8.8,18.3,True
2026-03-06T14:37:44.914274,1.1.1.1,15.2,True
2026-03-06T14:38:45.215178,8.8.8.8,19.8,True
2026-03-06T14:38:45.215178,1.1.1.1,15.5,True
2026-03-06T14:39:45.496621,8.8.8.8,17.8,True
2026-03-06T14:39:45.496621,1.1.1.1,20.4,True
2026-03-06T14:40:45.794032,8.8.8.8,19.2,True
2026-03-06T14:40:45.794032,1.1.1.1,16.5,True
2026-03-06T14:41:46.080133,8.8.8.8,20.2,True
2026-03-06T14:41:46.080133,1.1.1.1,17.2,True
2026-03-06T14:42:46.365016,8.8.8.8,14.7,True
2026-03-06T14:42:46.365016,1.1.1.1,20.2,True
2026-03-06T14:43:46.674757,8.8.8.8,19.0,True
2026-03-06T14:43:46.674757,1.1.1.1,18.8,True
2026-03-06T14:44:46.963234,8.8.8.8,20.7,True
2026-03-06T14:44:46.963234,1.1.1.1,16.8,True
2026-03-06T14:45:47.234476,8.8.8.8,18.7,True
2026-03-06T14:45:47.234476,1.1.1.1,18.2,True
2026-03-06T14:46:47.543603,8.8.8.8,17.9,True
2026-03-06T14:46:47.543603,1.1.1.1,12.2,True
2026-03-06T14:47:47.836485,8.8.8.8,15.9,True
2026-03-06T14:47:47.836485,1.1.1.1,17.5,True
2026-03-06T14:48:48.121211,8.8.8.8,15.3,True
2026-03-06T14:48:48.121211,1.1.1.1,16.5,True
2026-03-06T14:49:48.412505,8.8.8.8,14.2,True
2026-03-06T14:49:48.412505,1.1.1.1,15.8,True
2026-03-06T14:50:48.715061,8.8.8.8,19.8,True
2026-03-06T14:50:48.715061,1.1.1.1,17.0,True
2026-03-06T14:51:49.002388,8.8.8.8,15.8,True
2026-03-06T14:51:49.002388,1.1.1.1,16.3,True
2026-03-06T14:52:49.272230,8.8.8.8,18.5,True
2026-03-06T14:52:49.272230,1.1.1.1,16.3,True
2026-03-06T14:53:49.574167,8.8.8.8,15.0,True
2026-03-06T14:53:49.574167,1.1.1.1,17.4,True
2026-03-06T14:54:49.846734,8.8.8.8,25.2,True
2026-03-06T14:54:49.846734,1.1.1.1,20.2,True
2026-03-06T14:55:50.162010,8.8.8.8,17.3,True
2026-03-06T14:55:50.162010,1.1.1.1,18.0,True
2026-03-06T14:56:50.447530,8.8.8.8,16.2,True
2026-03-06T14:56:50.447530,1.1.1.1,14.3,True
2026-03-06T14:57:50.754783,8.8.8.8,17.1,True
2026-03-06T14:57:50.754783,1.1.1.1,9.96,True
2026-03-06T14:58:51.991397,8.8.8.8,18.4,True
2026-03-06T14:58:51.991397,1.1.1.1,17.6,True
2026-03-06T14:59:53.381232,8.8.8.8,,False
2026-03-06T14:59:53.381232,1.1.1.1,20.7,True
2026-03-06T15:00:54.489127,8.8.8.8,18.7,True
2026-03-06T15:00:54.489127,1.1.1.1,16.4,True
2026-03-06T15:01:55.319652,8.8.8.8,20.9,True
2026-03-06T15:01:55.319652,1.1.1.1,16.4,True
2026-03-06T15:02:57.388899,8.8.8.8,23.7,True
2026-03-06T15:02:57.388899,1.1.1.1,28.6,True
2026-03-06T15:03:57.757552,8.8.8.8,18.0,True
2026-03-06T15:03:57.757552,1.1.1.1,17.3,True
2026-03-06T15:04:58.070833,8.8.8.8,17.0,True
2026-03-06T15:04:58.070833,1.1.1.1,19.0,True
2026-03-06T15:05:58.363642,8.8.8.8,,False
2026-03-06T15:05:58.363642,1.1.1.1,18.9,True
2026-03-06T15:06:58.657594,8.8.8.8,19.1,True
2026-03-06T15:06:58.657594,1.1.1.1,15.7,True
2026-03-06T15:07:58.924360,8.8.8.8,15.6,True
2026-03-06T15:07:58.924360,1.1.1.1,17.1,True
